;Column Labels;;;;;;;;;;;;
Row Labels;A;B;C;D;E;F;G;H;I;J;K;L;Grand Total
396;0;0;0;2;0;0;0;0;2;0;0;0;4
397;0;0;0;0;0;0;0;0;0;0;0;0;0
398;0;0;0;1;0;0;0;0;1;0;0;0;2
399;0;0;0;0;0;0;0;0;0;0;0;0;0
400;0;0;0;0;0;0;0;0;0;0;0;0;0
401;0;0;0;2;0;2;1;3;1;0;0;0;9
402;0;0;0;0;0;0;0;0;0;0;0;0;0
403;0;1;0;2;0;0;2;0;1;0;0;0;6
404;1;1;1;1;0;0;0;1;0;0;0;0;5
405;0;0;0;4;0;4;0;6;0;0;0;0;14
406;0;0;0;2;0;1;0;0;1;0;0;0;4
407;0;0;0;5;0;4;0;0;1;0;0;0;10
408;0;0;0;1;0;2;0;1;0;0;0;0;4
409;0;0;0;0;0;0;0;0;0;0;0;0;0
410;0;0;0;0;0;0;0;0;0;0;0;0;0
411;0;0;0;1;0;2;0;1;0;0;0;0;4
412;1;0;2;1;0;0;0;1;0;1;0;0;6
413;0;0;0;3;0;1;0;0;2;0;0;0;6
414;0;0;0;0;0;0;0;0;0;0;0;0;0
415;0;0;0;0;0;0;0;0;0;0;0;0;0
416;0;0;0;2;0;1;1;1;0;0;0;0;5
417;0;0;0;0;0;0;0;0;0;0;0;0;0
418;0;0;0;0;0;0;0;0;0;0;0;0;0
419;0;0;0;0;0;0;0;0;0;0;0;0;0
420;0;0;0;0;0;0;0;0;0;0;0;0;0
421;0;0;0;0;0;0;0;0;0;0;0;0;0
422;0;0;0;2;0;0;1;0;1;0;0;0;4
423;0;0;0;0;0;0;0;0;0;0;0;0;0
424;0;0;0;0;0;0;0;0;0;0;0;0;0
425;0;0;0;2;0;0;1;0;1;0;0;0;4
426;0;3;0;8;0;0;0;0;9;0;0;0;20
427;0;0;0;0;0;0;0;0;0;0;0;0;0
428;0;0;0;0;0;0;0;0;0;0;0;0;0
429;0;0;0;0;0;0;0;0;0;0;0;0;0
430;0;1;0;4;0;0;0;0;3;0;1;0;9
431;0;0;0;0;0;0;0;0;0;0;0;0;0
432;0;0;0;2;0;0;1;0;1;0;0;0;4
433;0;0;0;2;0;1;0;0;1;0;0;0;4
434;0;0;0;0;0;0;0;0;0;0;0;0;0
435;0;0;0;0;0;0;0;0;0;0;0;0;0
436;0;1;0;4;0;0;0;1;4;0;0;0;10
437;0;0;0;1;0;0;0;0;1;0;1;0;3
438;0;1;0;1;0;1;0;0;1;0;0;0;4
439;0;0;0;2;0;1;0;0;1;0;0;0;4
440;0;0;0;0;0;0;0;0;0;0;0;0;0
441;1;0;0;1;0;2;0;0;0;0;0;0;4
442;0;0;0;0;0;0;0;0;0;0;0;0;0
443;0;1;0;1;0;1;0;0;0;0;0;0;3
444;0;0;0;0;0;0;0;0;0;0;0;0;0
445;0;0;0;2;0;0;0;0;2;0;0;0;4
446;2;0;1;1;0;1;0;0;0;0;0;0;5
447;0;0;0;0;0;0;0;0;0;0;0;0;0
448;0;0;0;1;0;1;0;0;0;0;0;0;2
449;0;0;0;0;0;0;0;0;0;0;0;0;0
450;0;0;0;0;0;0;0;0;0;0;0;0;0
451;0;0;0;2;0;1;0;1;1;0;0;0;5
452;1;10;1;7;0;7;0;3;11;0;0;0;40
453;0;0;0;0;0;0;0;0;0;0;0;0;0
454;0;0;0;0;0;0;0;0;0;0;0;0;0
455;0;0;0;0;0;0;0;0;0;0;0;0;0
456;0;1;0;2;0;2;0;0;1;0;0;0;6
457;0;1;0;0;0;2;0;0;0;0;0;0;3
458;0;0;0;1;0;0;0;0;1;0;0;0;2
459;0;0;0;0;0;0;0;0;0;0;0;0;0
460;0;0;0;0;0;0;0;0;0;0;0;0;0
461;0;1;0;1;0;0;0;0;2;0;0;0;4
462;0;0;0;0;0;0;0;0;0;0;0;0;0
463;0;0;0;2;0;0;2;0;0;0;0;0;4
464;1;0;0;1;0;1;0;0;1;0;0;0;4
465;0;0;0;2;0;1;1;0;0;0;0;0;4
466;0;0;0;0;0;0;0;0;0;0;0;0;0
467;0;0;0;1;0;2;0;2;0;0;0;0;5
468;0;0;0;4;0;1;0;2;3;0;0;0;10
469;0;0;0;0;0;0;0;0;0;0;0;0;0
470;3;0;0;4;0;3;0;0;4;0;0;0;14
471;0;0;0;1;0;2;0;2;1;0;0;0;6
472;0;0;1;1;0;1;0;1;0;0;0;0;4
473;1;0;0;0;0;1;0;0;0;0;0;0;2
474;0;0;0;0;0;0;0;0;0;0;0;0;0
475;0;0;0;5;0;0;2;0;3;0;0;0;10
476;0;0;0;0;0;0;0;0;0;0;0;0;0
477;0;0;0;2;0;1;0;0;1;0;0;0;4
478;0;0;0;2;0;0;0;0;2;0;0;0;4
479;0;0;0;0;0;0;0;0;0;0;0;0;0
480;0;0;0;0;0;1;1;1;0;0;0;0;3
481;0;0;0;0;0;0;0;0;0;0;0;0;0
482;1;0;0;1;0;1;0;0;0;0;0;0;3
483;0;0;0;0;0;1;0;1;0;0;0;0;2
484;0;0;0;0;0;0;0;0;0;0;0;0;0
485;0;0;0;1;0;0;0;1;1;0;1;0;4
486;0;0;0;2;0;0;1;0;1;0;0;0;4
487;0;0;0;0;0;1;1;0;0;0;0;0;2
488;0;0;0;0;0;0;0;0;0;0;0;0;0
489;0;0;0;1;0;1;0;0;0;0;0;0;2
490;0;0;0;0;0;0;0;0;0;0;0;0;0
